SITECODE,SDATE,FIELDNAME,VALUE,Year,Month
T01,08-May-96,DOC,5.4,1996,5
T01,08-May-96,IRON,0.274,1996,5
T01,08-May-96,MAGNESIUM,2.31,1996,5
T01,08-May-96,NH4N,0.773,1996,5
T01,08-May-96,NO3N,0.7,1996,5
T01,08-May-96,PH,4.1,1996,5
T01,08-May-96,PO4P,0.118,1996,5
T01,08-May-96,POTASSIUM,3.68,1996,5
T01,08-May-96,SO4S,1.9,1996,5
T01,08-May-96,SODIUM,3.93,1996,5
T01,08-May-96,TOTALN,0.67,1996,5
T01,22-May-96,ALUMINIUM,0.32,1996,5
T01,22-May-96,CALCIUM,4.36,1996,5
T01,22-May-96,CHLORIDE,9.9,1996,5
T01,22-May-96,CONDY,94,1996,5
T01,22-May-96,DOC,6.6,1996,5
T01,22-May-96,IRON,0.146,1996,5
T01,22-May-96,MAGNESIUM,2.07,1996,5
T01,22-May-96,NH4N,0.689,1996,5
T01,22-May-96,NO3N,1.11,1996,5
T01,22-May-96,PH,3.9,1996,5
T01,22-May-96,PO4P,0.121,1996,5
T01,22-May-96,POTASSIUM,3.46,1996,5
T01,22-May-96,SO4S,1.7,1996,5
T01,22-May-96,SODIUM,3.44,1996,5
T01,22-May-96,TOTALN,1.23,1996,5
T01,11-Oct-96,ALUMINIUM,0.291,1996,10
T01,11-Oct-96,CALCIUM,5.02,1996,10
T01,11-Oct-96,CHLORIDE,10.6,1996,10
T01,11-Oct-96,CONDY,88,1996,10
T01,11-Oct-96,DOC,0.8,1996,10
T01,11-Oct-96,IRON,0.17,1996,10
T01,11-Oct-96,MAGNESIUM,2.44,1996,10
T01,11-Oct-96,NH4N,0.748,1996,10
T01,11-Oct-96,NO3N,0.68,1996,10
T01,11-Oct-96,PH,4.3,1996,10
T01,11-Oct-96,PO4P,0.113,1996,10
T01,11-Oct-96,POTASSIUM,3.63,1996,10
T01,11-Oct-96,SO4S,1.7,1996,10
T01,11-Oct-96,SODIUM,4.22,1996,10
T01,11-Oct-96,TOTALN,1.26,1996,10
T01,24-Oct-96,ALUMINIUM,0.316,1996,10
T01,24-Oct-96,CALCIUM,4.64,1996,10
T01,24-Oct-96,CHLORIDE,10.3,1996,10
T01,24-Oct-96,CONDY,98,1996,10
T01,24-Oct-96,DOC,1.5,1996,10
T01,24-Oct-96,IRON,0.328,1996,10
T01,24-Oct-96,MAGNESIUM,2.27,1996,10
T01,24-Oct-96,NH4N,0.734,1996,10
T01,24-Oct-96,NO3N,0.68,1996,10
